#Table1
specobjid,z,class,zWarning,ra,dec,modelMag_r,modelMag_g,modelMag_i
326652842548946944,0.01251297,GALAXY,0,189.522249247665,-0.0270313533159909,13.8848,14.72385,13.46923
335575929399044096,0.0126869,GALAXY,0,203.229692628887,-1.15945728822488,14.06671,14.67477,13.77084
1042697978306914304,0.0125234,GALAXY,0,235.077077475121,-0.812512874382079,16.46258,16.96819,16.23425
331025051291772928,0.01277295,GALAXY,0,197.859793553195,-0.249732165326863,13.13354,13.88078,12.76484
334411546652338176,0.01079305,GALAXY,0,202.355140074162,-0.399143520108293,15.76987,16.186,15.62312
4555477978541477888,0.01263841,GALAXY,0,203.648128826176,-0.353238480589352,15.1461,15.49256,15.00817
335536072102537216,0.01239225,GALAXY,0,204.608633310944,-0.2276135111954,13.32631,14.10306,12.92891
335536346980444160,0.01203844,GALAXY,0,204.586434786857,-0.205559326182944,-9999,-9999,-9999
408710220768897024,0.01000118,GALAXY,0,234.064540650036,-0.349321563406916,17.43399,17.85604,17.24685
336761198169057280,0.01237381,GALAXY,0,205.132451587456,0.00631495227773278,16.00705,16.41143,15.81394
326644321333831680,0.012473,GALAXY,0,189.186248253724,0.563372693327833,17.55361,17.83313,17.43293
4508304526898647040,0.01016492,GALAXY,0,198.898879740614,0.492208174230763,14.85154,15.33675,14.57441
335574280131602432,0.01234626,GALAXY,0,203.272253022371,-1.03578293831665,12.51399,13.42748,12.07615
526925036771108864,0.01269793,GALAXY,0,134.078021108161,-0.441498576685647,14.41333,15.00364,14.08458
535965228119123968,0.01268636,GALAXY,0,144.109624960133,-0.571377647027488,15.23171,15.7073,15.01026
338924491843332096,0.01155612,GALAXY,0,210.179123930819,-0.505756246232493,15.18156,15.5722,15.00226
525875827615754240,0.01016996,GALAXY,0,130.486190609673,-0.0598858375839129,16.98669,17.36447,16.91485
313054356926654464,0.01281893,GALAXY,0,167.355481804529,-0.0977115577483528,13.87817,14.70634,13.49016
326532995781519360,0.01017225,GALAXY,0,189.979690598301,-0.138724832705092,21.01198,21.36646,21.37046
327710297638856704,0.01255981,GALAXY,0,190.075719536739,-0.185084396368814,16.14244,16.51469,15.97166
528074026438912000,0.01138677,GALAXY,0,134.815407358946,0.391638487502328,15.50619,15.89859,15.32092
529309877776967680,0.01268879,GALAXY,0,136.21095671317,0.743388158319032,17.01109,17.37589,16.82147
300754940081498112,0.01255482,GALAXY,0,148.334281389943,0.697737547469026,12.68582,13.63157,12.18435
301887437477537792,0.0126812,GALAXY,0,149.707661138609,0.83672605822329,16.04849,16.59861,15.76544
563030800979748864,0.01258564,GALAXY,0,148.644470142934,1.11405510329847,17.75809,18.13246,17.49358
480830485476435968,0.01172345,GALAXY,0,30.0082591240277,12.5383205907211,17.50014,18.089,17.28721
519107783941974016,0.01252734,GALAXY,0,52.4655818599712,-7.6749908461868,17.56828,17.86859,17.40854
516860657287587840,0.01271308,GALAXY,0,47.3967478177163,-7.95722117375935,16.70192,17.23528,16.47813
515672909935568896,0.01248552,GALAXY,0,47.4128269064982,-7.84618802648846,14.34241,14.93698,13.97036
520249626750642176,0.01259685,GALAXY,0,53.9504388044003,-6.71760137940555,15.44922,15.88451,15.26319
374948897040132096,0.01097008,GALAXY,0,185.169013726426,-3.533335943654,17.34465,17.69472,17.16566
374927731441297408,0.01125988,GALAXY,0,185.79759577141,-3.49117567337787,16.41264,16.58776,16.35093
381743593603229696,0.01242932,GALAXY,0,195.842414263641,-2.98960037915985,17.29981,17.6209,17.15705
371668505054963712,0.01096165,GALAXY,0,178.428379124591,-1.65987767089163,16.17856,16.55855,16.03989
380620717386917888,0.01059428,GALAXY,0,194.345604650159,-3.67455158605564,19.97521,19.89314,19.99349
380591305450874880,0.01007847,GALAXY,0,194.771348826258,-3.2043718311639,16.84989,17.09057,16.73811
378319444667033600,0.01104494,GALAXY,0,192.310803797811,-2.89690230885725,16.93986,17.40873,16.703
335526451375794176,0.01267416,GALAXY,0,204.689337335042,-0.416866682419519,14.96807,15.42661,14.74816
533756578868783104,0.01185283,GALAXY,0,140.154756321814,-0.680861071516261,20.91014,20.69169,22.18026
533746408386226176,0.01193792,GALAXY,0,140.819255116535,-0.730818932897105,24.83162,24.65861,24.72878
299619694694918144,0.01112419,GALAXY,0,146.045410697084,0.17976937273214,16.69317,17.2247,16.49892
529270020480460800,0.01117178,GALAXY,0,134.943403848115,0.582950411139734,17.55322,18.00918,17.31493
672233472307259392,0.01203641,GALAXY,0,171.735946617345,63.4253916356574,13.37719,14.16378,12.97946
672230448650283008,0.01234333,GALAXY,0,171.76186364488,63.5335669088714,17.80412,18.33146,17.5298
672199937202612224,0.01188254,GALAXY,0,172.792570378167,63.6379997200243,17.6089,17.93857,17.33554
7998643464576454656,0.01130289,GALAXY,0,166.201805042689,64.0002801163686,15.98258,17.36023,15.77898
671180145385564160,0.01134013,GALAXY,0,168.484265636046,65.1776139356737,14.85028,15.65203,14.42299
6439082691027816448,0.01011376,GALAXY,0,149.061477731099,59.3071562275408,13.20131,13.74789,12.91332
10535206362883051520,0.0127317,GALAXY,0,118.43247153238,39.7824771334655,21.41531,21.62825,21.99344
508959291634378752,0.0107167,GALAXY,0,143.006198050604,57.5542567459246,15.84868,16.21584,15.69209
10542070338006831104,0.01251121,GALAXY,0,114.051512099395,35.290949462624,21.95212,21.7074,22.24977
501076342381504512,0.01081499,GALAXY,0,129.048607865717,50.4189941143307,13.84539,14.6149,13.39792
506783358072678400,0.01237247,GALAXY,0,136.290728103921,55.5638668553488,17.65748,17.86686,17.47839
485272786944681984,0.01191037,GALAXY,0,114.807313533153,37.6768694512478,17.60802,17.98919,17.49091
485437988566755328,0.01191633,GALAXY,0,114.966751711769,37.8209090243302,21.64556,22.46658,22.49314
487601827383109632,0.01167478,GALAXY,0,114.893878383129,38.0282655161245,16.8982,17.2228,16.76441
487612822499387392,0.01169928,GALAXY,0,115.478266202159,38.4982514597388,16.40508,16.69175,16.24967
395217284018235392,0.01194774,GALAXY,0,256.566016062316,60.7051955556035,14.89217,15.39612,14.64765
395241473274046464,0.01141928,GALAXY,0,255.764479395147,61.0438909448015,13.56944,14.13999,13.25786
395239549128697856,0.0109827,GALAXY,0,255.867110043373,61.1088135495129,16.32349,16.70118,16.15241
5807533380821340160,0.01155029,GALAXY,0,130.918102149151,50.2000506670124,22.61004,20.80394,24.36181
506660212770367488,0.01273383,GALAXY,0,138.334175463968,54.633499832193,15.96033,16.33659,15.7486
507781989508605952,0.01102848,GALAXY,0,141.231851835179,55.8967001337217,14.06327,14.56385,13.79163
6446010449167405056,0.01093096,GALAXY,0,141.234870716843,55.8957524706383,20.61078,20.84249,20.71583
9223508774454841344,0.01130159,GALAXY,0,141.228956251929,55.9010332208402,21.2705,21.10582,21.45355
9227895276060299264,0.01113314,GALAXY,0,141.23431129525,55.8983540973585,21.36211,21.59635,21.61056
3246007990251186176,0.0110285,GALAXY,0,232.017467878563,55.5458353878777,13.8924,14.53998,13.55334
3246003867082582016,0.01103848,GALAXY,0,231.960604205156,55.4370341413194,15.52416,15.90127,15.33759
693582146253645824,0.01274526,GALAXY,0,235.58429806773,53.5293382904652,17.76532,17.93998,17.71568
498817120864331776,0.01031153,GALAXY,0,126.683555832318,48.8086837307146,15.76915,16.19626,15.57934
4158214800038711296,0.01040364,GALAXY,0,126.685258907506,48.8108534574124,21.64688,21.71324,21.52182
868205207379535872,0.01048278,GALAXY,0,153.010089339869,61.5902935296876,17.87496,18.04448,17.81349
10541900463460339712,0.01268648,GALAXY,0,112.28040237997,33.8612129519111,21.63475,21.7573,21.97794
691460655261181952,0.01178355,GALAXY,0,233.352283397602,56.6087433607372,15.63167,16.32131,15.30281
544964449086236672,0.01091979,GALAXY,0,138.810240721546,58.2000158476176,14.50941,15.25273,14.10491
545108210231568384,0.01062525,GALAXY,0,140.22339023162,58.8354145072637,17.79222,18.21787,17.5963
4132206131924979712,0.01063289,GALAXY,0,114.979640601149,39.0414054225072,16.66876,16.96059,16.50605
486414629887567872,0.01115533,GALAXY,0,115.16368148442,39.2333035351578,12.72205,13.68795,12.20566
4122168692523159552,0.01191896,GALAXY,0,115.149342451817,39.2317092923469,20.81305,21.03659,21.10661
10548608039380078592,0.01146312,GALAXY,0,115.155594401274,39.2299608745403,21.97727,21.84488,22.13551
486416279155009536,0.01085015,GALAXY,0,115.241295541031,39.3792058451401,15.71661,16.20379,15.49639
7179998225973399552,0.01264654,GALAXY,0,118.774657411286,43.4872449796405,18.4546,19.28112,18.18848
502213787596646400,0.01232669,GALAXY,0,130.168373797919,53.7775977255859,16.82145,17.18135,16.59453
502226157102458880,0.01230535,GALAXY,0,129.553420716435,54.082912493841,16.70606,17.23593,16.42087
550717369186543616,0.01082627,GALAXY,0,160.244136877951,65.5151550690254,17.75383,18.13513,17.51621
551777573256849408,0.01177607,GALAXY,0,161.518925246454,65.7743011573133,17.39253,17.63193,17.29124
551752009611503616,0.01148017,GALAXY,0,163.172442340225,66.1728780478226,16.99644,17.15354,17.09488
550720942599333888,0.01163484,GALAXY,0,160.853115667848,66.2608170145577,16.93957,17.11323,16.89289
398688718732421120,0.01171153,GALAXY,0,259.921290972775,61.3087417405498,16.28784,16.57026,16.27938
398634567784753152,0.01200052,GALAXY,0,260.123876699008,60.7453585100151,17.61443,17.90569,17.49695
398631269249869824,0.01200438,GALAXY,0,260.406948169285,60.4135458352265,17.36852,17.72299,17.22235
396353079512950784,0.01204045,GALAXY,0,260.107280855733,62.603662951731,14.20032,14.67149,14.02569
398731324807997440,0.01253931,GALAXY,0,262.075055081045,60.9423026361782,21.97476,21.42358,21.40061
396330814402488320,0.01005973,GALAXY,0,261.876980779449,62.4580562627801,20.1984,20.4728,20.16016
396375069745506304,0.0102476,GALAXY,0,259.19884386638,61.9201160752937,13.91442,14.28794,13.72839
398657107773122560,0.01048886,GALAXY,0,259.180308818935,61.8505643158244,17.1715,17.66663,16.95049
398685145319630848,0.0112058,GALAXY,0,259.579493719094,60.9602846614757,18.47252,19.15552,18.0297
398684045808003072,0.01021303,GALAXY,0,260.899253156256,61.8237090184169,16.9571,17.42459,16.7254
1952325882529998848,0.01221715,GALAXY,0,113.229283397789,39.3059046260724,16.94816,17.24782,16.86211
551764928873129984,0.01082588,GALAXY,0,162.523060523702,65.8376030671674,15.70007,16.34648,15.3613
551766028384757760,0.01077923,GALAXY,0,162.762526389977,65.7815592327533,13.3722,14.17752,12.95105
551764379117316096,0.01133936,GALAXY,0,162.666049546717,65.7272089505856,12.81684,13.42302,12.49833
7999699271103565824,0.01099019,GALAXY,0,162.654517741287,65.7235741791351,20.27358,20.54396,20.62376
551767402774292480,0.01075693,GALAXY,0,162.835800957529,65.6817825145584,17.422,17.91319,17.17911
551752559367317504,0.01150628,GALAXY,0,163.726129589915,66.028976477777,16.73223,17.11323,16.52875
692432880130877440,0.01229473,GALAXY,0,235.290024925449,57.531411279468,16.85768,17.15277,16.70817
597883670883231744,0.01199003,GALAXY,0,210.190713856523,2.02203711998346,14.24936,14.76953,14.01357
540566403950864384,0.01241416,GALAXY,0,146.753051552978,2.07411222763427,16.90616,18.35267,16.67218
541700273958053888,0.01176697,GALAXY,0,148.172613178375,2.13281811275768,17.22833,17.31102,17.26646
720738705010092032,0.01177621,GALAXY,0,321.973036060449,-7.02052824094562,15.47322,15.86715,15.33926
736393825538304000,0.01176737,GALAXY,0,7.5304754766068,-11.1136235607759,12.74413,13.55618,12.34589
736398773340628992,0.01174931,GALAXY,0,7.86476943877246,-10.6759241455033,17.23839,17.53992,17.13737
736389152613885952,0.01175464,GALAXY,0,7.84312647651072,-10.3784697471154,17.74431,18.06702,17.59935
736388602858072064,0.01220954,GALAXY,0,7.84109593582293,-10.4070759604713,17.00646,17.27935,16.86963
515668511889057792,0.01227635,GALAXY,0,47.1186732082258,-7.81912816109648,15.93765,16.36514,16.08832
516875775572469760,0.01219629,GALAXY,0,47.1177678960578,-7.81904220502376,21.04763,21.24136,20.75293
713949220104595456,0.01239809,GALAXY,0,309.685976792789,-5.52417815661673,16.90944,17.56151,16.5929
715043508733372416,0.01240057,GALAXY,0,310.487097736203,-5.29903284337617,18.01859,18.44685,17.95138
823082351197186048,0.01164212,GALAXY,0,323.764629527008,10.9604026534293,16.62587,17.15363,16.4833
736404545776674816,0.01167498,GALAXY,0,7.8054036418915,-10.4837189528082,18.92721,18.52015,21.07917
736391901392955392,0.01195358,GALAXY,0,7.8998493876641,-10.5047741403219,18.47795,18.82982,18.33514
736481236712712192,0.01245049,GALAXY,0,8.51162981354955,-9.70528242337555,11.77229,12.68849,11.31937
426749629812467712,0.01207691,GALAXY,0,343.503277824172,-1.27199890120275,17.20701,17.53454,17.01219
8202255430552145920,0.01182567,GALAXY,0,140.031004132718,54.0734723268629,20.9343,20.86836,21.37054
623893167724324864,0.01164006,GALAXY,0,140.916725681001,54.4811506823098,21.5444,21.50645,21.89674
570992370699495424,0.01231166,GALAXY,0,163.931841154681,2.66166096967612,23.23793,23.3056,21.77306
620512169351473152,0.01224634,GALAXY,0,134.623074868486,51.9671645264285,16.75191,17.1592,16.5517
671057274961160192,0.01098915,GALAXY,0,170.230051053282,63.4045280115575,14.79408,15.20973,14.58135
8004249048843571200,0.01128136,GALAXY,0,170.242957085681,63.403252063399,21.49581,21.5116,21.59885
534913814269814784,0.01183405,GALAXY,0,142.020407247834,2.58065002211431,15.20052,15.7274,14.95256
651923023321917440,0.01199475,GALAXY,0,163.001061439062,3.8358424849397,15.32065,15.77915,15.08721
653049198609983488,0.01240925,GALAXY,0,165.154687142823,4.0653108300845,15.775,15.98824,15.76809
639595847297820672,0.01174206,GALAXY,0,140.314367873939,3.15112791191167,14.59711,15.11527,14.31887
639541971228059648,0.01164638,GALAXY,0,142.050828034981,3.40837353926051,13.24545,14.06528,12.81899
636295937538418688,0.01225771,GALAXY,0,134.779683899795,3.28443893952072,16.93802,17.4464,16.72927
637379506465695744,0.01239375,GALAXY,0,135.916286738733,3.36980603791778,13.76385,14.62762,13.33705
1115837496719075328,0.01213963,GALAXY,0,139.956604805992,4.48533056068923,16.9186,17.22072,17.00545
537208770938300416,0.01221989,GALAXY,0,145.989328271717,2.85129936092646,20.69006,20.68914,21.54218
651918900153313280,0.01209809,GALAXY,0,162.991783464768,3.7920718355633,12.72669,13.53089,12.35524
653100600778582016,0.01216434,GALAXY,0,163.786764717264,3.67654695024551,24.80202,25.11438,24.3618
639548018542012416,0.01194976,GALAXY,0,141.457676869318,3.06188125697413,20.18649,20.38447,20.12449
642893008328484864,0.01214095,GALAXY,0,148.90192965633,3.42418676589314,17.72994,17.98347,17.61803
5371858770464100352,0.012373,GALAXY,0,165.174003231141,4.12489189795083,14.97103,15.70659,14.57807
636175266137270272,0.01205805,GALAXY,0,134.399479227638,3.09025225379798,12.00596,12.96776,11.58564
636177190282618880,0.01241327,GALAXY,0,134.414708582601,2.98766716306087,16.36483,16.98428,16.06892
641839950731438080,0.01211255,GALAXY,0,145.223444006495,3.65103966828275,16.81785,17.06958,16.76389
636305833143068672,0.01183168,GALAXY,0,135.102890351725,3.46082975068616,17.82114,18.16952,17.66389
639615363629213696,0.01195424,GALAXY,0,141.077555850431,4.23778156500269,16.15692,16.65935,15.92492
1128232015397677056,0.01165134,GALAXY,0,163.802573412249,5.86258941895207,14.90317,15.38145,14.69985
850089101779560448,0.01245883,GALAXY,0,115.887091260656,31.5352552530351,16.30341,16.6832,16.13664
853593520517179392,0.01243441,GALAXY,0,122.135215215375,38.9053247656931,17.63227,18.43054,17.27428
304125223148480512,0.0120204,GALAXY,0,152.824435116752,0.442414387793774,13.35492,13.95055,13.04714
672242818156095488,0.01242265,GALAXY,0,171.329368036977,63.7292305924584,13.35846,13.9018,13.05859
957075158303008768,0.01209468,GALAXY,0,197.448850072715,4.24989636924813,17.08753,17.34184,16.99253
692431780619249664,0.01179948,GALAXY,0,234.51146569931,57.5050919315368,16.94557,17.37367,16.74749
694806171365697536,0.01187031,GALAXY,0,236.14342447505,57.2121496004284,16.12323,16.56304,15.89147
1073007665560446976,0.01150432,GALAXY,0,177.500500463366,59.0624925428411,16.37949,16.91317,16.11606
1073007940438353920,0.01199915,GALAXY,0,177.850140015492,59.060008390478,17.94604,18.24244,17.85411
1073036527740676096,0.01177793,GALAXY,0,177.023184693717,59.3582075953014,18.08968,18.29778,17.98623
3243853496830683136,0.01181939,GALAXY,0,175.169710737555,59.8139387953296,16.17003,16.83889,15.82897
7991809174337245184,0.01189104,GALAXY,0,176.845441321626,60.3004524246783,13.28057,13.95493,12.95137
1073100574292994048,0.01204503,GALAXY,0,176.843305535591,60.300201027897,17.87147,18.95216,17.66291
7991799828488409088,0.01179853,GALAXY,0,177.20821374514,60.1954148639706,14.25598,15.03925,13.80779
3243831506598127616,0.01169649,GALAXY,0,174.798038326929,60.5125096650202,16.62798,16.97975,16.51084
693583245765273600,0.01182614,GALAXY,0,235.925620338994,53.662311222643,17.42923,17.71569,17.23879
1099043276306016256,0.01194965,GALAXY,0,258.152638846607,32.2759515230224,17.64498,17.50416,17.98587
895158085801240576,0.01198318,GALAXY,0,231.3306767497,51.7483635512807,18.21635,18.92304,17.88087
896345833623021568,0.01247592,GALAXY,0,236.298091897429,51.1015412966221,16.46793,16.82932,16.31594
